Governo do Estado do Rio de Janeiro
Secretaria de Estado de Fazenda
Subsecretaria de Politica Fiscal
Transparência Fiscal
Receitas entre 01/01/2017 e 01/08/2026
"Posição";"Poder";"Nome Poder";"Categoria Economica";"Nome Categoria Economica";"Receita por Fonte";"Nome Receita por Fonte";"Receita por Sub Fonte";"Nome Receita por SubFonte";"Rubrica";"Nome Rubrica";"Alinea";"Nome Alinea";"Sub Alinea";"Nome Sub Alinea";"Gestão";"Nome Gestão";"Órgão";"Nome Órgão";"UG";"Nome UG";"Fonte de Recursos";"Nome Fonte de Recursos";"Valor Previsão Inicial";"Valor Previsão Atualizada";"Valor Receita a Realizar";"Valor Receita Realizada"
"12/2021";"1";"Executivo";"7";"RECEITAS INTRAORÇAMENTÁRIAS CORRENTES";"79";"Receita Intraorçamentária - Outras Receitas Correntes";"792";"Receita Intraorçamentária - Indenizações, Restituições e Ressarcimentos";"7923";"Receita Intraorçamentária - Ressarcimentos";"792399";"Receita Intraorçamentária - Outros Ressarcimentos";"79239911";"Rec Intraorç - Outros Ressarcimentos - Pessoa";"00006";"";"31";"Secretaria de Estado de Transportes                                             ";"317300";"COMP DE TRANSP SOBRE TRILHOS DE EST DO RJ";"230";"Recursos Próprios";0;0;-91229,32;91229,32
"12/2021";"1";"Executivo";"7";"RECEITAS INTRAORÇAMENTÁRIAS CORRENTES";"79";"Receita Intraorçamentária - Outras Receitas Correntes";"799";"Receita Intraorçamentária - Demais Receitas Correntes";"7990";"Receita Intraorçamentária - Demais Receitas Correntes";"799099";"Receita Intraorçamentária - Outras Receitas";"79909911";"Receita Intraorçamentária - Outras Receitas -";"00003";"";"14";"Secretaria de Estado da Casa Civil                                              ";"403200";"PRODERJ-CENTRO DE TECNOL.DE INF.COMUN. ERJ";"230";"Recursos Próprios";318000;318000;318000;0
"12/2021";"1";"Executivo";"9";"DEDUÇÃO DA RECEITA REFERENTE A RECEITAS CORRENTES";"97";"Dedução da Receita Referente a Transferências Correntes";"971";"Dedução da Receita Referente a Transferências da União e de suas Entidades";"9718";"Dedução da Receita Referente a Transferências da União - Específica E/M";"971801";"Dedução da Receita Referente a Participação na Receita da União";"97180161";"Dedução - IPI-Exp. - FUNDEB- LC61/89 - Princi";"00001";"";"99";"Tesouro do Estado do Rio de Janeiro                                             ";"999900";"TESOURO DO ESTADO DO RIO DE JANEIRO";"107";"Transferências Constitucionais Provenientes de Impostos";-159288657;-207314617,81;6325756,41;-213640374,22
"12/2021";"1";"Executivo";"9";"DEDUÇÃO DA RECEITA REFERENTE A RECEITAS CORRENTES";"91";"Dedução da Receita Referente a Impostos, Taxas e Contribuições de Melhoria";"911";"Dedução da Receita Referente a Impostos";"9118";"Dedução da Receita Referente a Impostos Específicos de Estados/DF Municípios";"911802";"Dedução - Impostos sobre a Produção, Circulação de Mercadorias e Serviços - ICMS";"91180214";"Dedução - ICMS - Cota Parte FUNDEB - Dívida A";"00001";"";"99";"Tesouro do Estado do Rio de Janeiro                                             ";"999900";"TESOURO DO ESTADO DO RIO DE JANEIRO";"100";"Ordinários Provenientes de Impostos";-3634220;-5931907,34;-417063,69;-5514843,65
"12/2021";"1";"Executivo";"9";"DEDUÇÃO DA RECEITA REFERENTE A RECEITAS CORRENTES";"91";"Dedução da Receita Referente a Impostos, Taxas e Contribuições de Melhoria";"911";"Dedução da Receita Referente a Impostos";"9118";"Dedução da Receita Referente a Impostos Específicos de Estados/DF Municípios";"911801";"Dedução da Receita - Impostos sobre o Patrimônio para Estados/DF/Municípios";"91180123";"Dedução - IPVA - Cota Parte Municípios - Dívi";"00001";"";"99";"Tesouro do Estado do Rio de Janeiro                                             ";"999900";"TESOURO DO ESTADO DO RIO DE JANEIRO";"100";"Ordinários Provenientes de Impostos";-13404948;-47198226,09;-12341016,12;-34857209,97
"12/2021";"1";"Executivo";"9";"DEDUÇÃO DA RECEITA REFERENTE A RECEITAS CORRENTES";"91";"Dedução da Receita Referente a Impostos, Taxas e Contribuições de Melhoria";"911";"Dedução da Receita Referente a Impostos";"9118";"Dedução da Receita Referente a Impostos Específicos de Estados/DF Municípios";"911801";"Dedução da Receita - Impostos sobre o Patrimônio para Estados/DF/Municípios";"91180132";"Dedução - ITD - FUNDEB - Multas e Juros";"00001";"";"99";"Tesouro do Estado do Rio de Janeiro                                             ";"999900";"TESOURO DO ESTADO DO RIO DE JANEIRO";"100";"Ordinários Provenientes de Impostos";-1714154;-5539015,92;-946524,24;-4592491,68
"12/2021";"1";"Executivo";"9";"DEDUÇÃO DA RECEITA REFERENTE A RECEITAS CORRENTES";"91";"Dedução da Receita Referente a Impostos, Taxas e Contribuições de Melhoria";"912";"Dedução da Receita Referente a Taxas";"9122";"Dedução da Receita Referente a Taxas pela Prestação de Serviços";"912201";"Dedução da Receita Referente a Taxas pela Prestação de Serviços";"91220111";"Dedução-DRE-Taxas pela Prestação de Serviços-";"00001";"";"13";"Secretaria de Estado de Agricultura, Pecuária, Pesca e Abastecimento            ";"130200";"FUNDO ESTADUAL DE DEFESA AGROPECUÁRIA";"132";"Taxas pelo Exercício do Poder de Polícia e por Serviços Públicos";0;0;93,75;-93,75
"12/2021";"1";"Executivo";"9";"DEDUÇÃO DA RECEITA REFERENTE A RECEITAS CORRENTES";"91";"Dedução da Receita Referente a Impostos, Taxas e Contribuições de Melhoria";"912";"Dedução da Receita Referente a Taxas";"9121";"Dedução da Receita Referente a Taxas pelo Exercício do Poder de Polícia";"912101";"Dedução da Receita Referente a Taxas de Inspeção, Controle e Fiscalização";"91210111";"Dedução-DRE-Tx Insp Contr Fiscaliz-Rodovia  R";"00003";"";"22";"Secretaria de Desenvolvimento Econômico, Energia e Relações Internacionais      ";"043500";"AG.REG. DE ENERGIA E SANEAMENTO BASICO DO ERJ";"132";"Taxas pelo Exercício do Poder de Polícia e por Serviços Públicos";-91777;-91777;-40204,72;-51572,28
"12/2021";"1";"Executivo";"2";"RECEITAS DE CAPITAL";"22";"Alienação de Bens";"222";"Alienação de Bens Imóveis";"2220";"Alienação de Bens Imóveis";"222000";"Alienação de Bens Imóveis";"22200011";"Alienação de Bens Imóveis - Adquiridos com Re";"00003";"";"20";"Secretaria de Estado de Fazenda                                                 ";"123400";"FUNDO UNICO DE PREVIDENCIA DO ESTADO DO RJ.";"231";"Recursos Próprios do Rioprevidência";7000000;7000000;7000000;0
"12/2021";"1";"Executivo";"2";"RECEITAS DE CAPITAL";"23";"Amortização de Empréstimos";"230";"Amortização de Empréstimos";"2300";"Amortização de Empréstimos";"230007";"Amortização de Financiamentos";"23000711";"Amortização de Financiamentos - Principal";"00001";"";"99";"Tesouro do Estado do Rio de Janeiro                                             ";"999900";"TESOURO DO ESTADO DO RIO DE JANEIRO";"195";"Operações Oficiais de Fomento";517828;2976818,74;1205290,18;1771528,56
"12/2021";"1";"Executivo";"2";"RECEITAS DE CAPITAL";"23";"Amortização de Empréstimos";"230";"Amortização de Empréstimos";"2300";"Amortização de Empréstimos";"230007";"Amortização de Financiamentos";"23000711";"Amortização de Financiamentos - Principal";"00007";"";"22";"Secretaria de Desenvolvimento Econômico, Energia e Relações Internacionais      ";"226200";"FUNDO EST. FOMENTO AO MICROCRÉDITO PRODUTIVO ORIENTADO PARA EMPREENDEDORES";"230";"Recursos Próprios";4737163;4737163;-5888272,67;10625435,67
"12/2021";"1";"Executivo";"2";"RECEITAS DE CAPITAL";"21";"Operações de Crédito";"211";"Operações de Crédito - Mercado Interno";"2118";"Operações de Crédito - Mercado Interno - Estados/DF/Municípios";"211801";"Operações de Crédito Internas de Estados/DF/Municípios";"21180131";"Operações de Crédito Internas para Programas ";"00001";"";"99";"Tesouro do Estado do Rio de Janeiro                                             ";"999900";"TESOURO DO ESTADO DO RIO DE JANEIRO";"111";"Operações de Crédito";526176087;0;0;0
"12/2021";"1";"Executivo";"2";"RECEITAS DE CAPITAL";"22";"Alienação de Bens";"221";"Alienação de Bens Móveis";"2213";"Alienação de Bens Móveis e Semoventes";"221300";"Alienação de Bens Móveis e Semoventes";"22130011";"Alienação de Bens Móveis e Semoventes - Princ";"00005";"";"13";"Secretaria de Estado de Agricultura, Pecuária, Pesca e Abastecimento            ";"135300";"EMPRESA DE ASSIST TECNICA E EXTENSAO RURAL DO ESTADO RJ ";"133";"Alienação de Bens";0;0;-48052,5;48052,5
"12/2021";"1";"Executivo";"2";"RECEITAS DE CAPITAL";"22";"Alienação de Bens";"221";"Alienação de Bens Móveis";"2213";"Alienação de Bens Móveis e Semoventes";"221300";"Alienação de Bens Móveis e Semoventes";"22130011";"Alienação de Bens Móveis e Semov - Outros Ben";"00001";"";"99";"Tesouro do Estado do Rio de Janeiro                                             ";"999900";"TESOURO DO ESTADO DO RIO DE JANEIRO";"133";"Alienação de Bens";0;0;-287850;287850
"12/2021";"1";"Executivo";"2";"RECEITAS DE CAPITAL";"24";"Transferências de Capital";"241";"Transferências da União e de suas Entidades";"2418";"Transferências da União";"241810";"Transferência de Convênios da União e de suas Entidades";"24181021";"Transf de Convênio da União destinadas a Prog";"00004";"";"40";"Secretaria de Estado de Ciência, Tecnologia e Inovação                          ";"404700";"FUNDAÇÃO CENTRO UNIVERSITARIO ESTADUAL DA ZONA OESTE.";"212";"Transferências Voluntárias";700000;700000;700000;0
"12/2021";"1";"Executivo";"1";"RECEITAS CORRENTES";"16";"Receita de Serviços";"162";"Serviços e Atividades Referentes à Navegação e ao Transporte";"1620";"Serviços e Atividades Referentes à Navegação e ao Transporte";"162002";"Serviços de Transporte";"16200211";"Serviços de Transporte - Principal";"00004";"";"40";"Secretaria de Estado de Ciência, Tecnologia e Inovação                          ";"404300";"FUNDACAO UNIV. DO EST. RIO DE JANEIRO";"230";"Recursos Próprios";600000;600000;600000;0
"12/2021";"1";"Executivo";"1";"RECEITAS CORRENTES";"16";"Receita de Serviços";"164";"Serviços e Atividades Financeiras";"1640";"Serviços e Atividades Financeiras";"164001";"Retorno de Operações, Juros e Encargos Financeiros";"16400111";"Retorno de Operações, Juros e Encargos Financ";"00006";"";"22";"Secretaria de Desenvolvimento Econômico, Energia e Relações Internacionais      ";"227100";"COMPANHIA DE DESENV INDUSTRIAL DO EST.DO RJ";"230";"Recursos Próprios";2000000;2000000;-302341,86;2302341,86
"12/2021";"1";"Executivo";"1";"RECEITAS CORRENTES";"16";"Receita de Serviços";"169";"Outros Serviços";"1690";"Outros Serviços";"169099";"Outros Serviços";"16909911";"Outros Serviços - Principal";"00001";"";"99";"Tesouro do Estado do Rio de Janeiro                                             ";"999900";"TESOURO DO ESTADO DO RIO DE JANEIRO";"230";"Recursos Próprios";0;0;-149214,35;149214,35
"12/2021";"1";"Executivo";"1";"RECEITAS CORRENTES";"11";"Impostos, Taxas e Contribuições de Melhoria";"112";"Taxas";"1121";"Taxas pelo Exercício do Poder de Polícia";"112101";"Taxas de Inspeção, Controle e Fiscalização";"11210111";"Tx Insp Contr Fiscaliz - Trânsito - DUDA - Pr";"00001";"";"99";"Tesouro do Estado do Rio de Janeiro                                             ";"999900";"TESOURO DO ESTADO DO RIO DE JANEIRO";"208";"Receita desvinculada diretamente arrecadada";11471821;12426929,6;1245917,44;11181012,16
"12/2021";"1";"Executivo";"1";"RECEITAS CORRENTES";"11";"Impostos, Taxas e Contribuições de Melhoria";"111";"Impostos";"1118";"Impostos Específicos de Estados/DF Municípios";"111801";"Impostos sobre o Patrimônio para Estados/DF/Municípios";"11180134";"Imp Transm ,Causa Mortis, e Doação de Bens e ";"00001";"";"99";"Tesouro do Estado do Rio de Janeiro                                             ";"999900";"TESOURO DO ESTADO DO RIO DE JANEIRO";"100";"Ordinários Provenientes de Impostos";167613;2433837,38;956377,04;1477460,34
"12/2021";"1";"Executivo";"1";"RECEITAS CORRENTES";"19";"Outras Receitas Correntes";"192";"Indenizações, Restituições e Ressarcimentos";"1923";"Ressarcimentos";"192399";"Outros Ressarcimentos";"19239911";"Ressarcimento derivado de Prestação de Serviç";"00007";"";"29";"Secretaria de Estado de Saúde                                                   ";"296100";"FUNDO ESTADUAL DE SAUDE - FES";"225";"Sistema Único de Saúde- SUS";0;0;-16000000;16000000
"12/2021";"4";"Ministério Público";"1";"RECEITAS CORRENTES";"19";"Outras Receitas Correntes";"192";"Indenizações, Restituições e Ressarcimentos";"1923";"Ressarcimentos";"192399";"Outros Ressarcimentos";"19239911";"Ressarcimento derivado de Prestação de Serviç";"00007";"";"11";"Defensoria Pública Geral do Estado                                              ";"116100";"FUNDO ESPECIAL DA DEFENSORIA PUBLICA DO ERJ";"230";"Recursos Próprios";24694;24694;-17737,56;42431,56
"12/2021";"1";"Executivo";"1";"RECEITAS CORRENTES";"11";"Impostos, Taxas e Contribuições de Melhoria";"112";"Taxas";"1121";"Taxas pelo Exercício do Poder de Polícia";"112101";"Taxas de Inspeção, Controle e Fiscalização";"11210111";"Tx Insp Contr Fiscaliz - Transporte Metroviár";"00003";"";"22";"Secretaria de Desenvolvimento Econômico, Energia e Relações Internacionais      ";"043400";"AG.REG.SV.PUB.CONC.TRANSP.AQUAV.FER.MET.E ROD";"132";"Taxas pelo Exercício do Poder de Polícia e por Serviços Públicos";4166095;4166095;2758397,76;1407697,24
"12/2021";"1";"Executivo";"1";"RECEITAS CORRENTES";"11";"Impostos, Taxas e Contribuições de Melhoria";"112";"Taxas";"1121";"Taxas pelo Exercício do Poder de Polícia";"112101";"Taxas de Inspeção, Controle e Fiscalização";"11210111";"Tx Insp Contr Fiscaliz - Rodovia Via Lagos - ";"00001";"";"99";"Tesouro do Estado do Rio de Janeiro                                             ";"999900";"TESOURO DO ESTADO DO RIO DE JANEIRO";"208";"Receita desvinculada diretamente arrecadada";342110;173528,96;51690,61;121838,35
"12/2021";"1";"Executivo";"1";"RECEITAS CORRENTES";"11";"Impostos, Taxas e Contribuições de Melhoria";"112";"Taxas";"1121";"Taxas pelo Exercício do Poder de Polícia";"112101";"Taxas de Inspeção, Controle e Fiscalização";"11210111";"Tx Insp Contr Fiscaliz - Transp Marítimo de P";"00003";"";"22";"Secretaria de Desenvolvimento Econômico, Energia e Relações Internacionais      ";"043500";"AG.REG. DE ENERGIA E SANEAMENTO BASICO DO ERJ";"132";"Taxas pelo Exercício do Poder de Polícia e por Serviços Públicos";584674;584674;503774,12;80899,88
"12/2021";"1";"Executivo";"1";"RECEITAS CORRENTES";"17";"Transferências Correntes";"171";"Transferências da União e de suas Entidades";"1718";"Transferências da União - Específica E/M";"171810";"Transferências de Convênios da União e de Suas Entidades";"17181091";"Outras Transferências de Convênios da União -";"00004";"";"40";"Secretaria de Estado de Ciência, Tecnologia e Inovação                          ";"404100";"FUND.CARLOS CHAGAS FILHO DE AMP.A PESQUISA-RJ";"212";"Transferências Voluntárias";567000;567000;-2796300;3363300
"12/2021";"1";"Executivo";"1";"RECEITAS CORRENTES";"17";"Transferências Correntes";"171";"Transferências da União e de suas Entidades";"1718";"Transferências da União - Específica E/M";"171810";"Transferências de Convênios da União e de Suas Entidades";"17181091";"Outras Transferências de Convênios da União -";"00006";"";"53";"Secretaria de Estado de Cidades                                                 ";"197100";"COMPANHIA ESTADUAL DE HABITACAO DO RJ";"214";"Transferências do PAC";2076238;2076238;2076238;0
"12/2021";"1";"Executivo";"1";"RECEITAS CORRENTES";"17";"Transferências Correntes";"171";"Transferências da União e de suas Entidades";"1718";"Transferências da União - Específica E/M";"171899";"Outras Transferências da União";"17189911";"Outras Transferências da União - Principal";"00004";"";"40";"Secretaria de Estado de Ciência, Tecnologia e Inovação                          ";"404400";"FUNDACAO APOIO A ESCOLA TECNICA ESTADO  RJ.";"224";"Transferências Legais Recebidas da União";8618219;8618219;8618219;0
"12/2021";"1";"Executivo";"1";"RECEITAS CORRENTES";"11";"Impostos, Taxas e Contribuições de Melhoria";"111";"Impostos";"1118";"Impostos Específicos de Estados/DF Municípios";"111802";"Impostos sobre a Produção, Circulação de Mercadorias e Serviços";"11180224";"Adicional ICMS - Fundo Estadual de Combate à ";"00001";"";"99";"Tesouro do Estado do Rio de Janeiro                                             ";"999900";"TESOURO DO ESTADO DO RIO DE JANEIRO";"150";"Fundo Estadual de Habitação de Interesse Social - FEHIS";74192;102292,71;-4427,48;106720,19
"12/2021";"1";"Executivo";"1";"RECEITAS CORRENTES";"11";"Impostos, Taxas e Contribuições de Melhoria";"111";"Impostos";"1118";"Impostos Específicos de Estados/DF Municípios";"111802";"Impostos sobre a Produção, Circulação de Mercadorias e Serviços";"11180212";"Imposto sobre a Circulação de Mercadorias e S";"00001";"";"99";"Tesouro do Estado do Rio de Janeiro                                             ";"999900";"TESOURO DO ESTADO DO RIO DE JANEIRO";"100";"Ordinários Provenientes de Impostos";85041015;157040493,76;24489165,01;132551328,75
"12/2021";"1";"Executivo";"1";"RECEITAS CORRENTES";"17";"Transferências Correntes";"174";"Transferências de Instituições Privadas";"1740";"Transferências de Instituições Privadas";"174000";"Transferências de Instituições Privadas";"17400011";"Contribuições e Doações";"00004";"";"40";"Secretaria de Estado de Ciência, Tecnologia e Inovação                          ";"404300";"FUNDACAO UNIV. DO EST. RIO DE JANEIRO";"230";"Recursos Próprios";120000;120000;120000;0
"12/2021";"1";"Executivo";"1";"RECEITAS CORRENTES";"19";"Outras Receitas Correntes";"191";"Multas Administrativas, Contratuais e Judiciais";"1910";"Multas Administrativas, Contratuais e Judiciais";"191001";"Multas Previstas em Legislação Específica";"19100111";"Multas Previstas em Legislação Específica - P";"00003";"";"14";"Secretaria de Estado da Casa Civil                                              ";"263100";"DEPARTAMENTO DE TRANSITO DO RIO DE JANEIRO";"230";"Recursos Próprios";81359034;81359034;35286484,78;46072549,22
"12/2021";"1";"Executivo";"1";"RECEITAS CORRENTES";"19";"Outras Receitas Correntes";"191";"Multas Administrativas, Contratuais e Judiciais";"1910";"Multas Administrativas, Contratuais e Judiciais";"191001";"Multas Previstas em Legislação Específica";"19100111";"Multas Previstas em Legislação Específica - O";"00001";"";"99";"Tesouro do Estado do Rio de Janeiro                                             ";"999900";"TESOURO DO ESTADO DO RIO DE JANEIRO";"101";"Ordinários Não Provenientes de Impostos";164;12962,8;1221,65;11741,15
"12/2021";"1";"Executivo";"1";"RECEITAS CORRENTES";"19";"Outras Receitas Correntes";"191";"Multas Administrativas, Contratuais e Judiciais";"1910";"Multas Administrativas, Contratuais e Judiciais";"191009";"Multas e Juros Previstos em Contratos";"19100911";"Multas e Juros Previstos em Contratos - Princ";"00006";"";"13";"Secretaria de Estado de Agricultura, Pecuária, Pesca e Abastecimento            ";"137200";"CENTRAIS DE ABASTECIMENTO DO ESTADO DO RJ";"230";"Recursos Próprios";0;0;-88018,87;88018,87
"12/2021";"4";"Ministério Público";"1";"RECEITAS CORRENTES";"19";"Outras Receitas Correntes";"191";"Multas Administrativas, Contratuais e Judiciais";"1910";"Multas Administrativas, Contratuais e Judiciais";"191009";"Multas e Juros Previstos em Contratos";"19100911";"Multas e Juros Previstos em Contratos - Princ";"00007";"";"11";"Defensoria Pública Geral do Estado                                              ";"116100";"FUNDO ESPECIAL DA DEFENSORIA PUBLICA DO ERJ";"230";"Recursos Próprios";0;0;-753499,9;753499,9
"12/2021";"1";"Executivo";"1";"RECEITAS CORRENTES";"19";"Outras Receitas Correntes";"191";"Multas Administrativas, Contratuais e Judiciais";"1910";"Multas Administrativas, Contratuais e Judiciais";"191009";"Multas e Juros Previstos em Contratos";"19100913";"Multas e Juros Previstos em Contratos - Inscr";"00003";"";"22";"Secretaria de Desenvolvimento Econômico, Energia e Relações Internacionais      ";"043500";"AG.REG. DE ENERGIA E SANEAMENTO BASICO DO ERJ";"181";"Recursos Não Orçamentários - Depósitos de Diversas Origens";0;0;-160936,77;160936,77
"12/2021";"1";"Executivo";"1";"RECEITAS CORRENTES";"19";"Outras Receitas Correntes";"191";"Multas Administrativas, Contratuais e Judiciais";"1910";"Multas Administrativas, Contratuais e Judiciais";"191009";"Multas e Juros Previstos em Contratos";"19100914";"Multas e Juros Previstos em Contratos - Inscr";"00001";"";"99";"Tesouro do Estado do Rio de Janeiro                                             ";"999900";"TESOURO DO ESTADO DO RIO DE JANEIRO";"230";"Recursos Próprios";0;-90,6;-90,6;0
"12/2021";"1";"Executivo";"1";"RECEITAS CORRENTES";"19";"Outras Receitas Correntes";"192";"Indenizações, Restituições e Ressarcimentos";"1921";"Indenizações";"192199";"Outras Indenizações";"19219911";"Outras Indenizações - Principal";"00004";"";"40";"Secretaria de Estado de Ciência, Tecnologia e Inovação                          ";"404500";"FUND.UNIV.EST.NORTE FLUMINENSE DARCY RIBEIRO.";"230";"Recursos Próprios";0;0;-9022,66;9022,66
"12/2021";"1";"Executivo";"1";"RECEITAS CORRENTES";"19";"Outras Receitas Correntes";"192";"Indenizações, Restituições e Ressarcimentos";"1921";"Indenizações";"192199";"Outras Indenizações";"19219911";"Outras Indenizações - Principal";"00003";"";"24";"Secretaria de Estado do Ambiente e Sustentabilidade                             ";"243200";"INSTITUTO ESTADUAL DO AMBIENTE";"230";"Recursos Próprios";0;0;-19219,6;19219,6
"12/2021";"1";"Executivo";"1";"RECEITAS CORRENTES";"19";"Outras Receitas Correntes";"192";"Indenizações, Restituições e Ressarcimentos";"1922";"Restituições";"192299";"Outras Restituições";"19229911";"Outras Restituições - Principal";"00004";"";"15";"Secretaria de Estado de Cultura e Economia Criativa                             ";"154300";"FUND. TEATRO MUNICIPAL DO RJ";"230";"Recursos Próprios";72;72;-734,18;806,18
"12/2021";"1";"Executivo";"1";"RECEITAS CORRENTES";"19";"Outras Receitas Correntes";"192";"Indenizações, Restituições e Ressarcimentos";"1922";"Restituições";"192299";"Outras Restituições";"19229911";"Outras Restituições - Principal";"00003";"";"14";"Secretaria de Estado da Casa Civil                                              ";"263100";"DEPARTAMENTO DE TRANSITO DO RIO DE JANEIRO";"132";"Taxas pelo Exercício do Poder de Polícia e por Serviços Públicos";0;0;-154797,46;154797,46
"12/2021";"1";"Executivo";"1";"RECEITAS CORRENTES";"19";"Outras Receitas Correntes";"192";"Indenizações, Restituições e Ressarcimentos";"1922";"Restituições";"192299";"Outras Restituições";"19229911";"Outras Restituições - Principal";"00004";"";"29";"Secretaria de Estado de Saúde                                                   ";"294200";"FUNDACAO SAUDE DO ESTADO DO RIO DE JANEIRO";"223";"Contratos Intraorçamentários Gestão de Saúde";0;0;-3654670,93;3654670,93
"12/2021";"1";"Executivo";"1";"RECEITAS CORRENTES";"19";"Outras Receitas Correntes";"192";"Indenizações, Restituições e Ressarcimentos";"1922";"Restituições";"192299";"Outras Restituições";"19229911";"Outras Restituições - Principal";"00004";"";"40";"Secretaria de Estado de Ciência, Tecnologia e Inovação                          ";"404600";"FUND. CENTRO DE CIENCIAS E EDUC.SUP.DIST. ERJ";"230";"Recursos Próprios";0;0;-31271,27;31271,27
"12/2021";"1";"Executivo";"1";"RECEITAS CORRENTES";"19";"Outras Receitas Correntes";"192";"Indenizações, Restituições e Ressarcimentos";"1922";"Restituições";"192299";"Outras Restituições";"19229911";"Outras Restituições - Principal";"00006";"";"22";"Secretaria de Desenvolvimento Econômico, Energia e Relações Internacionais      ";"227100";"COMPANHIA DE DESENV INDUSTRIAL DO EST.DO RJ";"230";"Recursos Próprios";90000;90000;90000;0
"12/2021";"1";"Executivo";"1";"RECEITAS CORRENTES";"19";"Outras Receitas Correntes";"192";"Indenizações, Restituições e Ressarcimentos";"1922";"Restituições";"192299";"Outras Restituições";"19229911";"Outras Restituições - Principal";"00004";"";"40";"Secretaria de Estado de Ciência, Tecnologia e Inovação                          ";"404300";"FUNDACAO UNIV. DO EST. RIO DE JANEIRO";"230";"Recursos Próprios";360000;360000;9043,53;350956,47
"12/2021";"1";"Executivo";"1";"RECEITAS CORRENTES";"13";"Receita Patrimonial";"139";"Demais Receitas Patrimoniais";"1390";"Demais Receitas Patrimoniais";"139000";"Demais Receitas Patrimoniais";"13900011";"Dem Rec Pat - Fundo Especial do Petróleo - FE";"00001";"";"99";"Tesouro do Estado do Rio de Janeiro                                             ";"999900";"TESOURO DO ESTADO DO RIO DE JANEIRO";"151";"Fundo Especial de Controle Ambiental - FECAM";584621;461505,07;178190,47;283314,6
"12/2021";"1";"Executivo";"1";"RECEITAS CORRENTES";"16";"Receita de Serviços";"161";"Serviços Administrativos e Comerciais Gerais";"1610";"Serviços Administrativos e Comerciais Gerais";"161001";"Serviços Administrativos e Comerciais Gerais";"16100111";"Serviços Administrativos e Comerciais Gerais ";"00005";"";"07";"SECRETARIA DE ESTADO DE INFRAESTRUTURA E OBRAS";"045200";"EMPRESA DE OBRAS PUBLICAS DO ESTADO DO RJ.";"230";"Recursos Próprios";120012;120012;-138192,85;258204,85
"12/2021";"3";"Judiciário";"1";"RECEITAS CORRENTES";"16";"Receita de Serviços";"161";"Serviços Administrativos e Comerciais Gerais";"1610";"Serviços Administrativos e Comerciais Gerais";"161001";"Serviços Administrativos e Comerciais Gerais";"16100111";"Serviços Administrativos e Comerciais Gerais ";"00007";"";"03";"Tribunal de Justiça do Estado do Rio de Janeiro";"036200";"FUNDO ESPECIAL ESCOLA DE MAGISTRATURA RJ";"230";"Recursos Próprios";11012000;11012000;3848146,38;7163853,62
"12/2021";"1";"Executivo";"1";"RECEITAS CORRENTES";"16";"Receita de Serviços";"161";"Serviços Administrativos e Comerciais Gerais";"1610";"Serviços Administrativos e Comerciais Gerais";"161001";"Serviços Administrativos e Comerciais Gerais";"16100111";"Serviços Administrativos e Comerciais Gerais ";"00006";"";"13";"Secretaria de Estado de Agricultura, Pecuária, Pesca e Abastecimento            ";"137200";"CENTRAIS DE ABASTECIMENTO DO ESTADO DO RJ";"230";"Recursos Próprios";156000;156000;29235,19;126764,81
"12/2021";"1";"Executivo";"1";"RECEITAS CORRENTES";"16";"Receita de Serviços";"161";"Serviços Administrativos e Comerciais Gerais";"1610";"Serviços Administrativos e Comerciais Gerais";"161001";"Serviços Administrativos e Comerciais Gerais";"16100111";"Serviços Administrativos e Comerciais Gerais ";"00004";"";"40";"Secretaria de Estado de Ciência, Tecnologia e Inovação                          ";"124100";"FUND CENTRO EST ESTAT  PESQ E FORM SERVID PUB";"230";"Recursos Próprios";2475744;2475744;1365103,01;1110640,99
"12/2021";"1";"Executivo";"1";"RECEITAS CORRENTES";"16";"Receita de Serviços";"161";"Serviços Administrativos e Comerciais Gerais";"1610";"Serviços Administrativos e Comerciais Gerais";"161001";"Serviços Administrativos e Comerciais Gerais";"16100111";"Serviços Administrativos e Comerciais Gerais ";"00004";"";"53";"Secretaria de Estado de Cidades                                                 ";"044100";"FUNDAÇÃO DEPARTAMENTO DE ESTRADAS DE RODAGEM DO EST. RJ";"230";"Recursos Próprios";191345;191345;164195,24;27149,76
"12/2021";"4";"Ministério Público";"1";"RECEITAS CORRENTES";"19";"Outras Receitas Correntes";"199";"Demais Receitas Correntes";"1990";"Demais Receitas Correntes";"199099";"Outras Receitas";"19909911";"Outras Receitas - Primárias - Principal";"00007";"";"10";"Ministério Público                                                              ";"106100";"FUNDO ESPECIAL DO MINISTERIO PUBLICO DO ERJ";"230";"Recursos Próprios";0;0;-3951;3951
"12/2021";"1";"Executivo";"1";"RECEITAS CORRENTES";"19";"Outras Receitas Correntes";"199";"Demais Receitas Correntes";"1990";"Demais Receitas Correntes";"199099";"Outras Receitas";"19909911";"Outras Receitas - Primárias - Demais Receitas";"00004";"";"49";"Secretaria de Estado de Desenvolvimento Social e de Direitos Humanos            ";"424100";"FUNDACAO PARA INFANCIA E ADOLESCENCIA";"230";"Recursos Próprios";3564;3564;2134,65;1429,35
